End. (nó)      | Tam Ch | End. (pai)     | End. (filho_0) | Chave_0 | End. (filho_1) | Chave_1 | End. (filho_2) | Chave_2 | End. (filho_3) | Chave_3 | End. (filho 4) | Fag_Folha 
0x55b3b02d6340 | 2      | -1             | 0x55b3b02d5a40 | 11      | 0x55b3b02d6390 | 23      | 0x55b3b02d6920 | -1      | -1             | -1      | -1             | 0
0x55b3b02d5a40 | 2      | 0x55b3b02d6340 | 0x55b3b02d52b0 | 3       | 0x55b3b02d5d50 | 8       | 0x55b3b02d5ab0 | -1      | -1             | -1      | -1             | 0
0x55b3b02d6390 | 2      | 0x55b3b02d6340 | 0x55b3b02d5f00 | 15      | 0x55b3b02d5c70 | 20      | 0x55b3b02d61a0 | -1      | -1             | -1      | -1             | 0
0x55b3b02d6920 | 4      | 0x55b3b02d6340 | 0x55b3b02d65e0 | 26      | 0x55b3b02d6550 | 29      | 0x55b3b02d6780 | 33      | 0x55b3b02d6b80 | 36      | 0x55b3b02d6d60 | 0
0x55b3b02d52b0 | 2      | 0x55b3b02d5a40 | -1             | 1       | -1             | 2       | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d5d50 | 4      | 0x55b3b02d5a40 | -1             | 4       | -1             | 5       | -1             | 6       | -1             | 7       | -1             | 1
0x55b3b02d5ab0 | 2      | 0x55b3b02d5a40 | -1             | 9       | -1             | 10      | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d5f00 | 3      | 0x55b3b02d6390 | -1             | 12      | -1             | 13      | -1             | 14      | -1             | -1      | -1             | 1
0x55b3b02d5c70 | 4      | 0x55b3b02d6390 | -1             | 16      | -1             | 17      | -1             | 18      | -1             | 19      | -1             | 1
0x55b3b02d61a0 | 2      | 0x55b3b02d6390 | -1             | 21      | -1             | 22      | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d65e0 | 2      | 0x55b3b02d6920 | -1             | 24      | -1             | 25      | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d6550 | 2      | 0x55b3b02d6920 | -1             | 27      | -1             | 28      | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d6780 | 3      | 0x55b3b02d6920 | -1             | 30      | -1             | 31      | -1             | 32      | -1             | -1      | -1             | 1
0x55b3b02d6b80 | 2      | 0x55b3b02d6920 | -1             | 34      | -1             | 35      | -1             | -1      | -1             | -1      | -1             | 1
0x55b3b02d6d60 | 2      | 0x55b3b02d6920 | -1             | 37      | -1             | 38      | -1             | -1      | -1             | -1      | -1             | 1
